anime_id,Name,Genres,Other name,Score,Type
1,Cowboy Bebop,"Action, Award Winning, Sci-Fi",カウボーイビバップ,8.75,TV
5,Cowboy Bebop: Tengoku no Tobira,"Action, Sci-Fi",カウボーイビバップ 天国の扉,8.38,Movie
6,Trigun,"Action, Adventure, Sci-Fi",トライガン,8.22,TV
7,Witch Hunter Robin,"Action, Drama, Mystery, Supernatural",Witch Hunter ROBIN (ウイッチハンターロビン),7.25,TV
8,Bouken Ou Beet,"Adventure, Fantasy, Supernatural",冒険王ビィト,6.94,TV
15,Eyeshield 21,Sports,アイシールド21,7.92,TV
16,Hachimitsu to Clover,"Comedy, Drama, Romance",ハチミツとクローバー,8.0,TV
17,Hungry Heart: Wild Striker,"Comedy, Slice of Life, Sports",ハングリーハート Wild Striker,7.55,TV
18,Initial D Fourth Stage,"Action, Drama",頭文字〈イニシャル〉D FOURTH STAGE,8.16,TV
19,Monster,"Drama, Mystery, Suspense",モンスター,8.87,TV
20,Naruto,"Action, Adventure, Fantasy",ナルト,7.99,TV
21,One Piece,"Action, Adventure, Fantasy",ONE PIECE,8.69,TV
22,Tennis no Ouji-sama,Sports,テニスの王子様,7.86,TV
23,Ring ni Kakero 1,"Action, Sports",リングにかけろ１,6.39,TV
24,School Rumble,"Comedy, Romance",スクールランブル,7.89,TV
25,Sunabouzu,"Action, Adventure, Comedy, Sci-Fi, Ecchi",砂ぼうず,7.38,TV
26,Texhnolyze,"Action, Drama, Sci-Fi",TEXHNOLYZE,7.76,TV
27,Trinity Blood,"Action, Supernatural",トリニティ・ブラッド,7.29,TV
28,Yakitate!! Japan,"Comedy, Gourmet",焼きたて!! ジャぱん,7.91,TV
29,Zipang,"Action, Drama, Sci-Fi",ジパング,7.48,TV
30,Neon Genesis Evangelion,"Action, Avant Garde, Award Winning, Drama, Sci-Fi, Suspense",新世紀エヴァンゲリオン,8.35,TV
31,Neon Genesis Evangelion: Death & Rebirth,"Drama, Sci-Fi",新世紀エヴァンゲリオン劇場版 シト新生,7.46,Movie
32,Neon Genesis Evangelion: The End of Evangelion,"Avant Garde, Drama, Sci-Fi",新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION,8.55,Movie
33,Kenpuu Denki Berserk,"Action, Adventure, Drama, Fantasy, Horror",剣風伝奇ベルセルク,8.56,TV
43,Koukaku Kidoutai,"Action, Award Winning, Mystery, Sci-Fi, Suspense",GHOST IN THE SHELL（攻殻機動隊）,8.27,Movie
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Romance",るろうに剣心―明治剣客浪漫譚―追憶編,8.71,OVA
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action, Adventure, Comedy, Romance",るろうに剣心 -明治剣客浪漫譚-,8.29,TV
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama,るろうに剣心 -明治剣客浪漫譚- 維新志士への鎮魂歌,7.55,Movie
47,Akira,"Action, Adventure, Horror, Sci-Fi, Supernatural",AKIRA（アキラ）,8.16,Movie
48,.hack//Sign,"Adventure, Fantasy, Mystery",.hack//SIGN,6.95,TV
49,Aa! Megami-sama!,"Comedy, Romance, Supernatural",ああっ女神さまっ,7.29,OVA
50,Aa! Megami-sama! (TV),"Comedy, Romance, Supernatural",ああっ女神さまっ,7.32,TV
51,Tenshi Kinryouku,"Action, Drama, Romance, Supernatural",天使禁猟区,6.27,OVA
52,Kidou Tenshi Angelic Layer,"Award Winning, Comedy, Drama, Sci-Fi, Sports",機動天使エンジェリックレイヤー,7.26,TV
53,Ai Yori Aoshi,"Comedy, Drama, Romance",藍より青し,7.11,TV
54,Appleseed (Movie),"Action, Drama, Sci-Fi",アップルシード,7.06,Movie
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",アークザラッド,6.51,TV
56,Avenger,"Adventure, Fantasy, Sci-Fi",アヴェンジャー,5.86,TV
57,Beck,"Comedy, Drama, Slice of Life",ベック,8.29,TV
58,Blue Gender,"Adventure, Drama, Horror, Romance, Sci-Fi",BLUE GENDER,7.03,TV
59,Chobits,"Comedy, Drama, Romance, Sci-Fi, Ecchi",ちょびっツ,7.4,TV
60,Chrno Crusade,"Action, Romance, Supernatural",クロノクルセイド,7.62,TV
61,D.N.Angel,"Action, Comedy, Fantasy, Romance",Ｄ・Ｎ・ＡＮＧＥＬ,7.17,TV
62,D.C.: Da Capo,"Drama, Romance",D.C.～ダ・カーポ～,6.72,TV
63,DearS,"Comedy, Romance, Sci-Fi, Ecchi",ディアーズ,6.56,TV
64,Rozen Maiden,"Action, Comedy, Drama",ローゼンメイデン,7.41,TV
65,Rozen Maiden: Träumend,"Action, Comedy, Drama",ローゼンメイデン トロイメント,7.62,TV
66,Azumanga Daiou The Animation,"Comedy, Slice of Life",あずまんが大王 THE ANIMATION,7.99,TV
67,Basilisk: Kouga Ninpou Chou,"Action, Drama, Romance",バジリスク 甲賀忍法帖,7.55,TV
68,Black Cat (TV),"Action, Adventure, Sci-Fi",ブラックキャット,7.33,TV
69,Cluster Edge,"Action, Fantasy, Sci-Fi",CLUSTER EDGE（クラスターエッジ）,6.31,TV
71,Full Metal Panic!,"Action, Comedy, Sci-Fi",フルメタル・パニック！,7.61,TV
72,Full Metal Panic? Fumoffu,"Action, Comedy",フルメタル・パニック? ふもっふ,8.03,TV
73,Full Metal Panic! The Second Raid,Action,フルメタル パニック！The Second Raid,7.93,TV
74,Gakuen Alice,"Comedy, Fantasy",学園アリス,7.64,TV
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Sci-Fi",蒼穹のファフナーDead Aggressor,7.26,TV
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama",魔法少女リリカルなのは,7.41,TV
77,Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama",魔法少女リリカルなのは エース,7.97,TV
79,Shuffle!,"Comedy, Drama, Fantasy, Romance, Ecchi",SHUFFLE! (シャッフル!),7.03,TV
80,Kidou Senshi Gundam,"Action, Drama, Sci-Fi",機動戦士ガンダム,7.76,TV
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,"Adventure, Drama, Romance, Sci-Fi",機動戦士ガンダム 第08MS小隊,8.01,OVA
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"Drama, Sci-Fi",機動戦士ガンダム 0080 ポケットの中の戦争,7.96,OVA
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,"Drama, Romance, Sci-Fi",機動戦士ガンダム 第08MS小隊 ミラーズ・リポート,6.76,Movie
84,Kidou Senshi Gundam 0083: Stardust Memory,"Adventure, Drama, Romance, Sci-Fi",機動戦士ガンダム0083 STARDUST MEMORY,7.24,OVA
85,Kidou Senshi Zeta Gundam,"Drama, Romance, Sci-Fi",機動戦士Ζガンダム,7.9,TV
86,Kidou Senshi Gundam ZZ,"Comedy, Drama, Sci-Fi",機動戦士ガンダムZZ,6.68,TV
87,Kidou Senshi Gundam: Gyakushuu no Char,"Drama, Sci-Fi",機動戦士ガンダム 逆襲のシャア,7.66,Movie
88,Kidou Senshi Gundam F91,"Drama, Sci-Fi",機動戦士ガンダムＦ91,6.62,Movie
89,Kidou Senshi Victory Gundam,"Drama, Sci-Fi",機動戦士Vガンダム,6.77,TV
90,Shin Kidou Senki Gundam Wing,"Action, Drama, Sci-Fi",新機動戦記ガンダムW,7.69,TV
91,Shin Kidou Senki Gundam Wing: Endless Waltz,"Action, Award Winning, Drama, Sci-Fi",新機動戦記ガンダムW エンドレス・ワルツ,7.74,OVA
92,Kidou Shinseiki Gundam X,"Adventure, Drama, Sci-Fi",機動新世紀ガンダムX,7.34,TV
93,Kidou Senshi Gundam SEED,"Action, Award Winning, Drama, Romance, Sci-Fi",機動戦士ガンダムSEED,7.75,TV
94,Kidou Senshi Gundam SEED Destiny,"Action, Drama, Romance, Sci-Fi",機動戦士ガンダムSEED DESTINY,7.18,TV
95,Turn A Gundam,"Action, Adventure, Award Winning, Drama, Romance, Sci-Fi",∀ガンダム,7.74,TV
96,Kidou Butouden G Gundam,"Adventure, Comedy, Drama, Romance, Sci-Fi, Sports",機動武闘伝Gガンダム,7.57,TV
97,Last Exile,"Action, Adventure, Sci-Fi",LAST EXILE（ラストエグザイル）,7.79,TV
98,Mai-HiME,"Action, Fantasy, Girls Love",舞-HiME,7.42,TV
99,Mai-Otome,"Comedy, Drama, Fantasy",舞-乙HiME,7.28,TV
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy, Drama, Fantasy, Romance",新白雪姫伝説プリーティア,7.16,TV
101,Air,"Drama, Romance, Supernatural",AIR,7.28,TV
102,Aishiteruze Baby★★,"Comedy, Drama, Romance",愛してるぜ ベイベ★★,7.44,TV
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Romance",赤ずきんチャチャ,7.49,TV
104,Ayashi no Ceres,"Adventure, Drama, Horror, Romance, Supernatural, Suspense",妖しのセレス,7.18,TV
105,Boys Be...,"Comedy, Romance, Slice of Life",ボーイズ・ビー,6.4,TV
106,Hana yori Dango,"Drama, Romance",花より男子,7.61,TV
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi",王ドロボウ JING,7.19,TV
108,Ou Dorobou Jing in Seventh Heaven,"Adventure, Comedy, Fantasy",王ドロボウ JING in Seventh Heaven,7.25,OVA
109,Bakuretsu Tenshi,"Adventure, Comedy, Sci-Fi",爆裂天使,6.79,TV
110,Chuuka Ichiban!,"Action, Comedy, Drama, Gourmet",中華一番,7.58,TV
111,Corrector Yui,"Adventure, Comedy, Sci-Fi",コレクター・ユイ,6.97,TV
112,Chou Henshin Cosprayers,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Ecchi",超変身コス∞プレイヤー,4.82,TV
113,Uchuu no Stellvia,"Action, Romance, Sci-Fi",宇宙のステルヴィア,7.37,TV
114,Sakigake!! Cromartie Koukou,Comedy,魁!! クロマティ高校,7.9,TV
115,El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",異次元の世界エルハザード,6.79,TV
116,El Hazard: The Wanderers,"Adventure, Comedy, Fantasy, Romance",神秘の世界エルハザード,6.93,TV
117,El Hazard: The Magnificent World,"Adventure, Comedy, Fantasy, Romance",神秘の世界エルハザード,7.26,OVA
118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",神秘の世界 エルハザード 第2期,6.78,OVA
119,Final Approach,"Comedy, Drama, Romance",φなる・あぷろーち,6.52,TV
120,Fruits Basket,"Drama, Romance, Supernatural",フルーツバスケット,7.69,TV
121,Fullmetal Alchemist,"Action, Adventure, Award Winning, Drama, Fantasy",鋼の錬金術師,8.11,TV
122,Full Moon wo Sagashite,"Comedy, Drama, Romance, Supernatural",満月をさがして,7.94,TV
123,Fushigi Yuugi,"Adventure, Fantasy, Romance",ふしぎ遊戯,7.61,TV
124,Fushigi Yuugi: Eikouden,"Adventure, Drama, Fantasy, Romance",ふしぎ遊戯 -永光伝,6.82,OVA
125,Futakoi,"Comedy, Romance",双恋,6.44,TV
126,Futakoi Alternative,"Comedy, Drama, Romance",フタコイ オルタナティブ,6.86,TV
127,Gate Keepers,"Action, Comedy, Fantasy, Sci-Fi",ゲートキーパーズ,6.92,TV
128,Gate Keepers 21,"Action, Drama, Sci-Fi",ゲートキーパーズ21,6.74,OVA
129,Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Drama, Supernatural",幻想魔伝 最遊記,7.55,TV
130,Saiyuuki Reload,"Action, Adventure, Comedy, Drama, Supernatural",最遊記RELOAD,7.37,TV
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Drama, Supernatural",最遊記RELOAD GUNLOCK,7.37,TV
132,GetBackers,"Action, Mystery, Supernatural",ゲットバッカーズ　奪還屋,7.58,TV
133,Green Green,"Comedy, Romance, Ecchi",グリーングリーン,6.15,TV
134,Gunslinger Girl,"Action, Drama, Sci-Fi",ガンスリンガー・ガール,7.39,TV
135,Hikaru no Go,"Comedy, Drama, Supernatural",ヒカルの碁,8.08,TV
136,Hunter x Hunter,"Action, Adventure, Fantasy",HUNTER×HUNTER（ハンター×ハンター）,8.41,TV
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Fantasy",HUNTER×HUNTER Original Video Animation,8.31,OVA
138,Hunter x Hunter: Greed Island,"Action, Adventure, Fantasy",HUNTER×HUNTER Greed Island,8.18,OVA
